scanner,segment_id,GT_ID,final_status,attribute_source,include_TH_DBH,include_detection,final_tree_id,notes,status
Hovermap,0,GT8,cleaned_retained_tree,cleaned,True,True,0.0,Manual cleaning completed; use recalculated attributes,
Hovermap,1,GT9,validated_untouched_tree,original,True,True,1.0,Manual/validated one-to-one correspondence with GT9; tree did not require manual correction.,
Hovermap,2,GT33/GT34,ambiguous_undersegmented,cleaned,False,False,2.0,Manual CloudCompare QC: neighbouring trees are strongly interlocked. Cannot reliably determine whether T2 corresponds to GT33 or GT34. Exclude from one-to-one TH/DBH accuracy. No individual GT detection credit assigned from this candidate.,
Hovermap,3,GT13,cleaned_reprocessing_exception,original_TH_DBH,True,True,3.0,Manual cleaning completed but rayextract returned 0 trees; retain original TH/DBH,
Hovermap,4,GT32/GT7,ambiguous_undersegmented,original,False,False,4.0,Manual CloudCompare QC: poor segmentation of two very close/interlocked trees prevents reliable assignment of T4 to GT32 or GT7. Exclude from one-to-one TH/DBH accuracy. No individual GT detection credit assigned from this candidate.,
Hovermap,5,GT14,cleaned_retained_tree,cleaned,True,True,5.0,Manual cleaning completed; use recalculated attributes,
Hovermap,6,,genuine_unrecorded_tree,original,False,True,6.0,Genuine physical tree but no corresponding GT record,
Hovermap,7,,genuine_unrecorded_tree,original,False,True,7.0,Genuine physical tree but no corresponding GT record,
Hovermap,8,,genuine_unrecorded_tree,original,False,True,8.0,Genuine physical tree but no corresponding GT record,
Hovermap,9,,genuine_unrecorded_tree,original,False,True,9.0,Genuine physical tree but no corresponding GT record,
Hovermap,10,6,random_or_unresolved_fragment,cleaned,True,True,,Not a valid independent tree after manual QC,matched_cleaned
Hovermap,11,,genuine_unrecorded_tree,original,False,True,11.0,Genuine physical tree but no corresponding GT record,
Hovermap,12,GT35+GT36,mixed_undersegmented,original,False,True,12.0,"One RCT instance contains two physical GT trees; GT35 and GT36 both represented, but no valid one-to-one TH/DBH comparison",
Hovermap,13,,genuine_unrecorded_tree,cleaned,False,True,13.0,Genuine unrecorded tree; T37-T40 absorbed into T13; use main cleaned reconstruction,
Hovermap,14,GT16,validated_untouched_tree,original,True,True,14.0,Manual/validated one-to-one correspondence with GT16; tree did not require manual correction.,
Hovermap,15,GT18,cleaned_retained_tree,cleaned,True,True,15.0,Manual cleaning completed; use recalculated attributes,
Hovermap,16,GT3,validated_untouched_tree,original,True,True,16.0,Manual/validated one-to-one correspondence with GT3; tree did not require manual correction.,
Hovermap,17,GT2,cleaned_reprocessing_exception,original_TH_DBH,True,True,17.0,Manual cleaning completed but rayextract returned 0 trees; retain original TH/DBH,
Hovermap,18,,genuine_unrecorded_tree,original,False,True,18.0,Genuine physical tree but no corresponding GT record,
Hovermap,19,,random_or_unresolved_fragment,none,False,False,,Not a valid independent tree after manual QC,
Hovermap,20,GT19,validated_untouched_tree,original,True,True,20.0,Manual/validated one-to-one correspondence with GT19; tree did not require manual correction.,
Hovermap,21,GT23/GT24,mixed_undersegmented,original,False,True,21.0,One RCT instance represents the very close GT23 and GT24 trees. The two physical GT trees cannot be reliably separated for a one-to-one TH/DBH comparison; excluded from attribute accuracy.,
Hovermap,22,GT37,validated_primary_match,cleaned,True,True,22.0,Validated one-to-one correspondence with GT37 by manual CloudCompare QC. Tree manually cleaned before attribute extraction; included in detection and TH/DBH accuracy.,
Hovermap,23,GT1,validated_untouched_tree,original,True,True,23.0,Manual/validated one-to-one correspondence with GT1; tree did not require manual correction.,
Hovermap,24,GT28,validated_untouched_tree,original,True,True,24.0,Manual/validated one-to-one correspondence with GT28; tree did not require manual correction.,
Hovermap,25,GT25,cleaned_retained_tree,cleaned,True,True,25.0,Manual cleaning completed; use recalculated attributes,
Hovermap,26,GT20,validated_untouched_tree,original,True,True,26.0,Manual CloudCompare QC identified T26 as GT20. Retain original RCT attributes.,
Hovermap,27,GT29,cleaned_retained_tree,cleaned,True,True,27.0,Manual cleaning completed; use recalculated attributes,
Hovermap,28,GT30,cleaned_retained_tree,cleaned,True,True,28.0,Manual cleaning completed; use recalculated attributes,
Hovermap,29,GT26,cleaned_retained_tree,cleaned,True,True,29.0,Manual cleaning completed; use recalculated attributes,
Hovermap,30,,random_or_unresolved_fragment,none,False,False,,Not a valid independent tree after manual QC,
Hovermap,31,,genuine_unrecorded_tree,original,False,True,31.0,Genuine physical tree but no corresponding GT record,
Hovermap,32,,genuine_unrecorded_tree,original,False,True,32.0,Manual CloudCompare QC confirmed H32 is a genuine small tree with its own stem but no corresponding GT record.,
Hovermap,33,,random_or_unresolved_fragment,none,False,False,,Not a valid independent tree after manual QC,
Hovermap,34,,genuine_unrecorded_tree,original,False,True,34.0,Genuine physical tree but no corresponding GT record,
Hovermap,35,,genuine_unrecorded_tree,original,False,True,35.0,Genuine physical tree but no corresponding GT record,
Hovermap,36,,genuine_unrecorded_tree,original,False,True,36.0,Genuine physical tree but no corresponding GT record,
Hovermap,37,,absorbed_fragment,none,False,False,13.0,Merged into final T13,
Hovermap,38,,absorbed_fragment,none,False,False,13.0,Merged into final T13,
Hovermap,39,,absorbed_fragment,none,False,False,13.0,Merged into final T13,
Hovermap,40,,absorbed_fragment,none,False,False,13.0,Merged into final T13,
Hovermap,41,5,ambiguous_close_neighbours,original,True,True,41.0,Manual CloudCompare QC: T41 is a small tree located very close to a larger neighbouring tree. Correspondence cannot be confidently resolved between GT2 and GT5. Excluded from one-to-one TH/DBH accuracy.,matched_original
Hovermap,42,,random_or_unresolved_fragment,none,False,False,,Not a valid independent tree after manual QC,
Hovermap,43,GT23,segmentation_unreliable,original,False,True,43.0,"T43 is interpreted as GT23, adjacent to T21/GT24. The close neighbouring trees caused poor segmentation, so individual-tree TH/DBH cannot be estimated reliably. Count GT23 as represented/detected, but exclude T43 from attribute accuracy.",
Hovermap,44,,random_or_unresolved_fragment,none,False,False,,Not a valid independent tree after manual QC,
Hovermap,45,,random_or_unresolved_fragment,none,False,False,,Not a valid independent tree after manual QC,
