Terrain,Scanner,source_dataset,segment_id,GT_ID_final,represented_GT_IDs,source_QC_status,QC_class,GT_detection_credit,include_in_attribute_accuracy,is_genuine_unrecorded_tree,is_genuine_edge_truncated_tree,is_undersegmented,is_invalid_candidate,QC_notes
Easy,Single sensor,et_j_nogrid,0,21;0,21;0,validated_primary_match,validated_primary_match,1,True,False,False,False,False,Primary segment corresponding to GT 21
Easy,Single sensor,et_j_nogrid,1,13;0,13;0,assigned_to_GT,validated_primary_match,1,True,False,False,False,False,
Easy,Single sensor,et_j_nogrid,2,20;0,20;0,assigned_to_GT,validated_primary_match,1,True,False,False,False,False,
Easy,Single sensor,et_j_nogrid,3,17;0,17;0,assigned_to_GT,validated_primary_match,1,True,False,False,False,False,
Easy,Single sensor,et_j_nogrid,4,27;0,27;0,assigned_to_GT,validated_primary_match,1,True,False,False,False,False,
Easy,Single sensor,et_j_nogrid,5,,,genuine_unrecorded_tree,genuine_unrecorded_tree,0,False,True,False,False,False,Genuine small tree visible in the point cloud but absent from the GT inventory
Easy,Single sensor,et_j_nogrid,6,6;0,6;0,assigned_to_GT,validated_primary_match,1,True,False,False,False,False,
Easy,Single sensor,et_j_nogrid,7,33;0,33;0,validated_primary_match,validated_primary_match,1,True,False,False,False,False,Clear corresponding tree in CloudCompare despite base offset just over 1 m
Easy,Single sensor,et_j_nogrid,8,34;0,34;0,assigned_to_GT,validated_primary_match,1,True,False,False,False,False,
Easy,Single sensor,et_j_nogrid,9,31;0,31;0,assigned_to_GT,validated_primary_match,1,True,False,False,False,False,
Easy,Dual sensor,et_dvojskener_nogrid,0,21;0,21;0,validated_primary_match,validated_primary_match,1,True,False,False,False,False,Primary segment corresponding to GT 21
Easy,Dual sensor,et_dvojskener_nogrid,1,13;0,13;0,assigned_to_GT,validated_primary_match,1,True,False,False,False,False,
Easy,Dual sensor,et_dvojskener_nogrid,2,20;0,20;0,assigned_to_GT,validated_primary_match,1,True,False,False,False,False,
Easy,Dual sensor,et_dvojskener_nogrid,3,17;0,17;0,assigned_to_GT,validated_primary_match,1,True,False,False,False,False,
Easy,Dual sensor,et_dvojskener_nogrid,4,27;0,27;0,assigned_to_GT,validated_primary_match,1,True,False,False,False,False,
Easy,Dual sensor,et_dvojskener_nogrid,5,,,genuine_unrecorded_tree,genuine_unrecorded_tree,0,False,True,False,False,False,Genuine small tree visible in the point cloud but absent from the GT inventory
Easy,Dual sensor,et_dvojskener_nogrid,6,6;0,6;0,assigned_to_GT,validated_primary_match,1,True,False,False,False,False,
Easy,Dual sensor,et_dvojskener_nogrid,7,33;0,33;0,validated_primary_match,validated_primary_match,1,True,False,False,False,False,Clear corresponding tree in CloudCompare despite base offset just over 1 m
Easy,Dual sensor,et_dvojskener_nogrid,8,34;0,34;0,assigned_to_GT,validated_primary_match,1,True,False,False,False,False,
Easy,Dual sensor,et_dvojskener_nogrid,9,31;0,31;0,assigned_to_GT,validated_primary_match,1,True,False,False,False,False,
Easy,Hovermap,et_hovermap_nogrid,0,,21;0,split_fragment,split_fragment,0,False,False,False,False,True,Small fragment belonging to Hovermap segment 1 and GT 21; not a separate physical tree
Easy,Hovermap,et_hovermap_nogrid,1,21;0,21;0,validated_primary_match,validated_primary_match,1,True,False,False,False,False,Primary Hovermap segment corresponding to GT 21
Easy,Hovermap,et_hovermap_nogrid,2,13;0,13;0,assigned_to_GT,validated_primary_match,1,True,False,False,False,False,
Easy,Hovermap,et_hovermap_nogrid,3,20;0,20;0,assigned_to_GT,validated_primary_match,1,True,False,False,False,False,
Easy,Hovermap,et_hovermap_nogrid,4,17;0,17;0,assigned_to_GT,validated_primary_match,1,True,False,False,False,False,
Easy,Hovermap,et_hovermap_nogrid,5,27;0,27;0,assigned_to_GT,validated_primary_match,1,True,False,False,False,False,
Easy,Hovermap,et_hovermap_nogrid,6,,,genuine_unrecorded_tree,genuine_unrecorded_tree,0,False,True,False,False,False,Genuine small tree visible in the point cloud but absent from the GT inventory
Easy,Hovermap,et_hovermap_nogrid,7,6;0,6;0,assigned_to_GT,validated_primary_match,1,True,False,False,False,False,
Easy,Hovermap,et_hovermap_nogrid,8,33;0,33;0,validated_primary_match,validated_primary_match,1,True,False,False,False,False,Clear corresponding tree in CloudCompare despite base offset just over 1 m
Easy,Hovermap,et_hovermap_nogrid,9,34;0,34;0,assigned_to_GT,validated_primary_match,1,True,False,False,False,False,
Easy,Hovermap,et_hovermap_nogrid,10,31;0,31;0,assigned_to_GT,validated_primary_match,1,True,False,False,False,False,
Intermediate,Single sensor,it_jednoskener_nogrid,0,25;0,25;0,assigned_to_GT,validated_primary_match,1,True,False,False,False,False,
Intermediate,Single sensor,it_jednoskener_nogrid,1,20;0,20;0,assigned_to_GT,validated_primary_match,1,True,False,False,False,False,
Intermediate,Single sensor,it_jednoskener_nogrid,2,26;0,26;0,assigned_to_GT,validated_primary_match,1,True,False,False,False,False,
Intermediate,Single sensor,it_jednoskener_nogrid,3,19;0,19;0,assigned_to_GT,validated_primary_match,1,True,False,False,False,False,
Intermediate,Single sensor,it_jednoskener_nogrid,4,23;0,23;0,assigned_to_GT,validated_primary_match,1,True,False,False,False,False,
Intermediate,Single sensor,it_jednoskener_nogrid,5,16;0,16;0,assigned_to_GT,validated_primary_match,1,True,False,False,False,False,
Intermediate,Single sensor,it_jednoskener_nogrid,6,22;0,22;0,assigned_to_GT,validated_primary_match,1,True,False,False,False,False,
Intermediate,Single sensor,it_jednoskener_nogrid,7,29;0,29;0,assigned_to_GT,validated_primary_match,1,True,False,False,False,False,
Intermediate,Single sensor,it_jednoskener_nogrid,8,17;0,17;0,assigned_to_GT,validated_primary_match,1,True,False,False,False,False,
Intermediate,Single sensor,it_jednoskener_nogrid,9,28;0,28;0,assigned_to_GT,validated_primary_match,1,True,False,False,False,False,
Intermediate,Single sensor,it_jednoskener_nogrid,10,,,genuine_unrecorded_tree,genuine_unrecorded_tree,0,False,True,False,False,False,Distinct small tree with its own stem; absent from the GT inventory. The nearest recorded GT belongs to a different physical tree.
Intermediate,Single sensor,it_jednoskener_nogrid,11,15;0,15;0,assigned_to_GT,validated_primary_match,1,True,False,False,False,False,
Intermediate,Single sensor,it_jednoskener_nogrid,12,34;0,34;0,assigned_to_GT,validated_primary_match,1,True,False,False,False,False,
Intermediate,Single sensor,it_jednoskener_nogrid,13,14;0,14;0,assigned_to_GT,validated_primary_match,1,True,False,False,False,False,
